km_routing,wegkm_imp
216.42,0.95
216.419,1.43
9995.0,10.45
9995.0,7.6
9995.0,13.3
9995.0,13.3
9995.0,13.3
70706.0,0.49
70706.0,0.49
9995.0,13.3
3.277,4.75
3.277,4.75
1.55,1.9
1.55,1.9
3.99,11.4
3.99,11.4
4.262,12.35
4.262,12.35
9995.0,12.35
4.262,12.35
,
9.747,6.28
1.305,1.77
6.929,5.34
0.744,1.64
4.238,4.18
0.002,11.4
10.156,2.85
2.023,23.65
258.896,14.25
252.852,9.5
5.807,23.75
21.365,11.4
70703.0,1.85
70703.0,1.85
70703.0,6.97
70703.0,41.9
70703.0,29.14
70703.0,9.4
70703.0,11.8
70703.0,1.13
70703.0,4.7
70703.0,2.98
70703.0,7.71
70706.0,0.49
70706.0,0.49
,
,
,
,
70703.0,3.6
70703.0,9.31
70703.0,2.18
70703.0,2.24
0.832,2.38
0.832,2.38
3.748,4.09
3.748,4.09
70706.0,0.78
70706.0,0.78
,
,
6.155,8.55
70706.0,8.1
16.563,17.1
16.563,17.1
35.687,33.25
35.687,33.25
35.687,33.25
35.687,33.25
2.973,5.7
70706.0,0.29
2.888,4.28
2.999,3.8
2.999,4.28
70706.0,0.39
70706.0,0.39
70706.0,1.76
70706.0,1.76
70706.0,2.94
9995.0,38.0
9995.0,38.0
70706.0,1.47
,
20.946,21.85
70706.0,0.39
22.653,21.85
70706.0,2.45
70706.0,2.45
70706.0,0.49
70706.0,0.49
70706.0,1.96
70706.0,1.96
29.961,28.5
35.543,38.0
70706.0,0.39
70706.0,0.39
5.073,5.13
5.073,5.13
14.28,13.59
70706.0,0.29
70706.0,0.29
29.961,28.5
35.543,38.0
70706.0,0.39
70706.0,0.39
5.073,5.13
5.073,5.13
14.28,13.59
70706.0,0.29
70706.0,0.29
9995.0,13.5
70706.0,1.96
70706.0,1.96
9995.0,13.5
70706.0,2.45
9995.0,10.8
27.122,33.25
27.122,33.25
70706.0,1.47
70706.0,1.47
9995.0,10.8
9995.0,10.8
70706.0,1.96
70706.0,1.96
3.992,3.8
3.992,3.8
3.992,3.8
3.992,3.8
19.206,19.0
19.206,19.0
70706.0,25.48
70706.0,25.48
19.206,31.5
19.206,31.5
19.206,31.5
19.206,31.5
3.992,3.8
3.992,3.8
70706.0,0.49
70706.0,0.49
,
9995.0,13.5
9995.0,18.0
9995.0,3.6
9995.0,3.6
70703.0,2.73
70703.0,7.06
70703.0,1.28
70703.0,0.79
3.147,3.33
3.147,3.33
4.886,5.7
5.821,5.7
2.985,3.8
,
,
0.919,0.95
0.67,0.48
0.659,0.48
9995.0,2.38
70706.0,2.45
70706.0,2.45
,
0.919,0.95
16.781,27.0
17.54,28.8
70706.0,0.98
70706.0,0.98
0.919,0.95
16.594,27.0
70706.0,0.49
9995.0,28.8
,
8.685,11.4
8.685,11.4
10.021,9.5
10.021,9.5
70706.0,0.25
13.053,11.4
70706.0,0.25
0.649,0.19
23.836,23.28
24.417,23.28
70706.0,0.34
10.894,11.25
70706.0,0.39
70706.0,0.39
10.654,11.25
70706.0,0.34
70706.0,0.59
70706.0,0.59
70706.0,0.34
6.289,7.2
70706.0,0.15
70706.0,0.15
7.7,7.2
70706.0,0.34
5.468,4.28
5.468,4.28
70706.0,7.35
70706.0,
16.394,4.09
25.893,26.6
3.518,3.85
40.106,29.45
4.319,38.0
70706.0,1.96
70706.0,1.96
4.319,38.0
12.971,9.5
9.377,7.6
3.783,1.9
9995.0,35.15
9995.0,35.15
,
9995.0,22.5
70706.0,1.47
6.051,4.5
24.038,22.5
,
70706.0,0.98
70706.0,0.98
8.433,5.7
4.244,0.95
70706.0,0.98
3.911,0.95
7.985,5.7
,
2.072,8.55
70706.0,2.94
70706.0,2.94
2.072,7.6
5.226,7.6
5.226,7.6
9995.0,9.5
9995.0,9.5
2.589,2.85
565.501,2.85
565.501,
64.116,63.65
64.116,63.65
8.603,5.7
8.603,5.7
39.012,57.0
39.012,57.0
8.603,5.7
8.603,5.7
2.868,4.5
2.868,4.5
70706.0,0.29
70706.0,0.29
70706.0,1.47
70706.0,1.47
70706.0,1.96
70706.0,1.96
2.153,2.38
2.153,2.38
4.199,3.8
4.199,3.8
70706.0,1.96
70706.0,1.96
2.153,2.38
2.153,2.38
4.199,3.8
4.199,3.8
9995.0,19.43
70706.0,2.34
14.126,6.03
3.478,3.04
3.478,4.56
14.126,13.49
70706.0,4.9
14.126,13.49
3.75,2.38
5.24,3.33
2.269,3.33
70706.0,4.41
3.297,4.05
2.703,2.38
2.703,2.38
,
9995.0,1.33
9995.0,0.23
9995.0,1.33
9995.0,1.72
9995.0,1.72
9995.0,1.62
9995.0,1.62
,
4.169,3.8
9995.0,5.7
9995.0,7.6
6.253,6.46
2.361,2.19
2.361,2.19
70706.0,0.2
70706.0,0.2
70706.0,0.2
70706.0,0.2
70706.0,2.55
70706.0,2.55
70703.0,1.73
70703.0,9.0
70703.0,1.51
70703.0,152.73
70706.0,2.74
70706.0,2.74
5.785,5.42
5.785,5.42
2.416,2.66
2.416,2.66
5.785,5.42
5.785,5.42
,
,
70703.0,6.74
,
70706.0,0.1
70706.0,0.1
70706.0,
70706.0,0.1
70706.0,0.1
9995.0,24.7
9995.0,24.7
0.413,0.76
70706.0,0.2
70706.0,0.1
70706.0,0.74
70706.0,0.74
70706.0,0.1
70706.0,0.1
70706.0,1.47
70706.0,1.47
70706.0,0.1
70706.0,0.1
70706.0,4.9
70706.0,4.9
,
,
,
,
11.537,11.88
11.537,11.88
,
9995.0,5.7
9995.0,5.7
9995.0,15.2
70703.0,3.31
70703.0,3.31
9995.0,14.25
9995.0,14.25
2.832,6.65
70706.0,0.98
70706.0,0.98
9995.0,46.8
9995.0,46.8
70706.0,0.69
70706.0,1.27
70706.0,1.27
70706.0,0.29
70706.0,0.29
70708.0,0.95
70708.0,
70706.0,0.98
70706.0,0.98
7.861,9.5
3.638,2.85
3.638,2.85
7.861,9.5
70706.0,4.51
70706.0,4.08
70706.0,1.53
70706.0,2.25
70706.0,2.25
70706.0,2.45
70706.0,2.45
70706.0,0.69
70706.0,1.27
70706.0,1.27
22.025,20.9
70706.0,4.9
16.007,19.0
5.422,4.75
4.69,3.8
4.69,3.8
,
70706.0,0.98
70706.0,
0.0,26.59
0.0,35.48
,
135.284,1.8
9995.0,1.8
7.093,0.95
7.093,0.95
12.141,6.65
9995.0,6.65
9995.0,
12.141,6.65
12.141,6.65
20.13,15.2
20.13,15.2
5.965,4.75
5.965,4.75
20.13,16.15
20.13,16.15
,
70706.0,0.49
70706.0,0.49
70706.0,0.98
70706.0,0.98
,
9.757,13.3
9.757,13.3
19.534,5.7
19.534,5.7
9995.0,2.85
9995.0,2.85
70706.0,3.92
70706.0,
22.068,33.25
70706.0,0.98
70706.0,0.98
22.068,33.25
70706.0,0.98
70706.0,0.98
1.261,1.9
1.261,1.9
70706.0,0.2
70706.0,0.2
9995.0,50.4
9995.0,50.4
1.682,2.85
17.67,17.1
17.67,17.1
1.309,2.85
1.309,2.85
70706.0,2.45
70706.0,2.45
70706.0,2.45
70706.0,2.45
70706.0,2.94
1.682,2.85
70706.0,0.2
70706.0,0.2
,
,
70706.0,2.45
70706.0,2.45
6.093,7.6
3.62,5.7
2.554,2.85
4.494,4.75
4.493,4.75
70706.0,5.88
2.554,2.85
1.874,3.8
0.453,1.9
1.963,0.95
,
70706.0,2.94
70706.0,3.92
70706.0,
70706.0,2.94
70706.0,
70703.0,11.26
70703.0,11.26
70703.0,6.34
70703.0,2.1
70703.0,2.08
70703.0,2.82
70703.0,18.83
70703.0,14.96
70703.0,25.09
70703.0,9.46
70703.0,9.92
70703.0,4.56
70703.0,10.46
70703.0,6.45
70703.0,2.57
70706.0,0.98
70706.0,0.98
70706.0,6.37
70706.0,6.86
5.305,7.6
5.305,7.6
70703.0,7.6
70703.0,7.6
0.873,2.85
0.873,2.85
0.873,2.85
0.873,2.85
0.873,2.85
0.873,2.85
4.406,5.7
4.406,5.7
4.406,5.7
4.406,5.7
0.479,0.48
0.479,0.48
70706.0,0.29
70706.0,0.29
70706.0,0.29
70706.0,
,
0.86,2.7
3.503,3.6
2.946,2.7
,
0.0,10.8
0.0,10.8
70706.0,2.94
70706.0,2.94
70706.0,9.8
70706.0,9.8
70706.0,2.45
15.417,8.1
70706.0,0.98
70706.0,0.98
9995.0,13.3
9995.0,3.8
7.758,7.6
3.629,2.09
70706.0,0.29
10.754,9.45
10.754,9.45
12.641,12.35
12.641,12.35
12.259,10.8
12.259,10.8
12.641,12.35
12.641,12.35
16.891,16.63
16.891,16.63
70706.0,0.59
70706.0,0.59
70706.0,2.45
70706.0,2.45
9995.0,4.75
4.288,7.6
3.126,2.85
4.3,4.75
70703.0,5.14
70703.0,5.14
70706.0,1.47
70706.0,1.47
13.385,14.25
13.385,14.25
10.017,17.1
10.017,17.1
70706.0,14.7
70706.0,
,
18.886,19.0
18.886,19.0
1.432,1.9
1.432,1.9
18.886,19.0
18.886,19.0
70706.0,4.9
70706.0,4.9
70706.0,0.49
1.234,1.9
1.234,1.9
49.265,55.1
49.265,55.1
9995.0,4.75
9995.0,3.33
1.7,1.43
,
78.842,76.0
74.296,14.25
72.475,2.85
9995.0,19.0
9995.0,
81.263,76.0
0.0,3.8
0.0,6.65
2.861,1.43
78.061,1.43
70706.0,1.47
70706.0,0.98
70706.0,0.1
70706.0,0.1
70706.0,2.94
70706.0,3.92
70706.0,2.94
70706.0,3.92
66.421,66.5
70708.0,1.35
70708.0,
5.654,4.5
5.654,4.5
0.854,1.9
0.854,1.9
5.614,4.5
70706.0,0.49
70706.0,0.98
5.884,4.75
1.207,1.9
70706.0,1.96
70706.0,0.29
3.222,3.8
70706.0,0.29
,
,
3.498,4.5
3.498,4.5
70706.0,0.69
70706.0,
70703.0,13.33
70703.0,5.93
70703.0,2.03
70703.0,2.01
70703.0,2.01
70703.0,6.29
70703.0,
291.711,2.38
289.828,2.85
1.352,2.85
1.352,2.85
1.352,2.7
1.352,2.85
70706.0,4.9
9995.0,2.38
1.352,2.38
0.0,4.75
0.0,4.75
23.026,23.75
23.026,23.75
73.379,98.8
71.45,92.15
2.111,3.8
18.687,20.9
18.687,20.9
70706.0,0.98
70706.0,0.98
70706.0,380.0
70706.0,
70706.0,0.98
70706.0,4.9
70706.0,4.9
9995.0,17.1
9995.0,
16.86,19.0
9995.0,19.0
1.212,0.67
70703.0,0.34
70706.0,0.49
70706.0,0.49
70706.0,0.49
70706.0,0.49
70706.0,1.47
70706.0,1.47
6.751,6.65
6.751,6.65
6.787,4.5
6.787,4.75
70706.0,0.2
70706.0,0.2
70706.0,5.88
70706.0,5.88
18.976,22.8
18.976,22.8
70706.0,0.98
70706.0,0.98
70706.0,0.2
70706.0,0.2
70706.0,0.98
70706.0,0.98
,
2.141,5.7
2.141,5.7
2.027,5.7
2.027,5.7
70706.0,0.49
70706.0,0.49
9995.0,5.7
9995.0,5.7
,
,
9995.0,21.6
9995.0,21.6
1.8,2.38
1.8,2.38
9995.0,16.2
9995.0,16.2
70706.0,0.2
70706.0,0.2
0.827,0.48
0.896,0.48
4.815,6.18
1.079,2.28
4.515,4.37
,
70703.0,10.72
70703.0,10.72
70703.0,6.36
70703.0,11.96
70703.0,10.65
70703.0,
13.456,13.59
13.456,13.59
70706.0,0.49
70706.0,0.2
5.421,0.38
0.787,4.75
28.07,21.85
23.069,21.85
1.337,4.75
70706.0,0.49
70706.0,0.2
5.421,0.38
5.57,4.5
1.337,4.75
70706.0,0.49
70706.0,0.2
4.722,0.38
4.861,4.75
1.337,4.75
70706.0,0.49
70706.0,0.2
5.649,7.53
5.649,7.53
70706.0,5.4
70706.0,5.4
9995.0,81.03
9995.0,82.94
70706.0,9.8
70706.0,
9995.0,78.16
9995.0,80.01
70706.0,9.8
70706.0,
,
70703.0,1.06
70703.0,3.22
70703.0,3.96
70703.0,2.46
70703.0,
70703.0,1.81
70703.0,0.44
70703.0,0.93
70703.0,0.46
70706.0,1.47
70706.0,1.47
16.637,19.95
10.538,10.45
8.909,9.5
70706.0,2.94
70706.0,
33.995,33.25
33.995,33.25
16.637,19.95
10.538,10.45
8.909,9.5
70706.0,2.94
70706.0,
28.521,29.45
28.831,29.45
70706.0,2.94
70706.0,1.47
70706.0,1.47
164.109,171.0
8.923,14.25
0.0,14.25
70706.0,1.96
70706.0,
0.0,4.5
0.0,4.5
109.486,9.0
9995.0,20.7
9995.0,20.7
3.304,4.75
3.304,
70706.0,3.92
2.638,4.75
9995.0,4.75
70706.0,0.69
70706.0,
70706.0,0.39
70706.0,0.39
70706.0,0.98
70706.0,0.98
6.38,23.75
9995.0,4.75
70703.0,4.0
70703.0,30.8
70703.0,24.57
70703.0,12.29
,
70706.0,2.34
70706.0,2.34
4.448,0.95
0.907,33.25
29.414,38.0
26.544,9.5
7.561,2.85
3.292,0.95
0.0,19.0
3.292,19.0
4.217,0.95
29.14,33.25
316.954,315.0
316.954,
6.211,9.5
6.211,12.35
70703.0,19.0
70703.0,19.0
70703.0,0.95
70703.0,2.85
70703.0,0.95
70703.0,19.0
70703.0,19.0
70706.0,11.76
70706.0,11.76
70706.0,17.64
70706.0,17.64
1.779,0.95
1.779,0.95
70706.0,0.98
70706.0,0.98
70706.0,11.76
70706.0,11.76
70706.0,17.64
70706.0,17.64
70706.0,0.59
70706.0,0.64
9995.0,20.9
70706.0,0.34
70706.0,0.34
70706.0,0.34
10.058,13.3
10.058,13.3
70706.0,2.94
70706.0,2.94
11.269,15.2
11.269,15.2
2.265,2.85
2.265,2.85
70706.0,2.45
70706.0,2.45
,
0.876,0.95
14.271,14.25
70706.0,2.94
70706.0,
0.876,1.76
9995.0,1.76
70706.0,0.98
70706.0,0.98
70706.0,
7.55,8.93
3.808,6.75
10.684,11.69
5.219,5.61
5.219,5.61
5.909,9.5
5.909,11.31
19.416,19.0
19.416,19.0
70706.0,0.29
70706.0,0.29
18.218,19.0
18.431,19.0
0.424,0.29
6.178,6.65
6.178,6.65
11.282,11.4
11.282,11.4
9995.0,45.0
9995.0,45.0
6.178,6.65
6.178,6.65
2.603,2.19
2.603,
5.512,4.75
5.512,4.75
70706.0,0.49
70706.0,0.49
2.622,1.9
2.622,1.9
2.622,1.8
2.622,1.62
2.622,1.9
2.622,1.9
5.512,4.75
5.512,4.75
2.545,1.9
2.545,1.9
70706.0,3.92
9995.0,8.55
261.359,8.55
,
,
18.634,20.9
18.634,11.4
70706.0,0.59
70706.0,0.59
16.542,19.95
16.542,19.95
4.226,1.62
4.226,1.62
16.24,14.25
13.013,14.25
3.122,0.95
9995.0,19.8
9995.0,
9995.0,4.75
9995.0,4.75
,
318.029,332.5
3.409,3.33
2.542,2.38
0.775,0.95
2.236,2.28
70706.0,0.78
70706.0,0.78
318.029,332.5
3.409,3.33
2.542,2.38
1.032,0.95
70706.0,2.35
70706.0,0.78
70706.0,0.78
318.029,332.5
1.789,3.33
1.543,2.38
1.032,0.95
2.493,2.28
318.029,332.5
1.789,3.33
1.543,2.38
1.032,0.95
2.493,2.28
70706.0,2.94
70706.0,2.94
31.707,18.0
14.152,9.0
32.82,22.5
43.576,31.5
70706.0,0.1
0.0,40.5
24.701,40.5
70706.0,0.1
0.0,40.5
24.701,40.5
0.786,14.25
0.786,14.25
,
,
0.469,0.95
70706.0,0.98
5.2,4.5
5.2,4.75
0.0,3.33
0.0,3.33
5.2,14.25
5.2,14.25
27.828,28.5
27.828,28.5
,
,
9995.0,4.28
9995.0,1.71
9995.0,2.38
9995.0,1.71
9995.0,6.65
,
68.557,67.45
1.61,2.38
1.61,2.38
67.615,67.45
40.356,42.75
40.356,42.75
68.496,67.45
67.554,67.45
9995.0,67.45
9995.0,67.45
9995.0,10.8
3.61,0.72
13.602,10.8
9995.0,10.8
9995.0,10.8
6.774,6.65
,
,
70703.0,9.69
70703.0,5.66
70703.0,31.35
70703.0,4.71
70703.0,4.08
70703.0,9.24
70703.0,3.73
70703.0,32.23
70703.0,18.65
70703.0,1.51
56.804,58.9
56.804,58.9
